,2011(gru 11),2012(gru 12),2013(gru 13),2014(gru 14),2015(gru 15),2016(gru 16),2017(gru 17),2018(gru 18),2019(gru 19),2020(gru 20),2021(gru 21),2022(gru 22),O4K(wrz 23)*
Data publikacji,,,,,,,,,,,,,
Przychody ze sprzedaży,2 624 171,2 353 353,2 700 898,2 952 651,3 338 740,4 207 369,5 265 507,6 651 670,8 353 048,7 027 879,8 817 050,11 358 938,11 333 302
Techniczny koszt wytworzenia produkcji sprzedanej,2 365 576,2 045 914,2 494 925,2 666 851,2 917 583,3 666 745,4 644 930,5 898 310,7 307 586,6 748 222,7 837 838,10 097 355,9 960 399
Koszty sprzedaży,0,0,0,0,0,0,0,0,0,0,0,0,0
Koszty ogólnego zarządu,173 272,157 843,216 823,195 359,251 600,294 796,387 221,494 930,627 277,661 762,636 557,730 686,769 284
Zysk ze sprzedaży,85 323,149 596,-10 850,90 441,169 557,245 828,233 356,258 430,418 185,-382 105,342 655,530 897,603 619
Pozostałe przychody operacyjne,17 692,26 067,28 267,19 454,26 186,22 346,33 526,49 450,31 513,-275 504,206 881,-181 030,-7 114
Pozostałe koszty operacyjne,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk operacyjny (EBIT),103 015,175 663,17 417,109 895,195 743,268 174,266 882,307 880,449 698,-657 609,549 536,349 867,596 505
Przychody finansowe,11 294,4 203,3 257,5 929,9 646,3 326,3 397,11 610,143 937,9 691,12 878,18 760,22 434
Koszty finansowe,65 091,57 571,54 479,50 688,43 694,48 089,59 633,72 240,195 891,281 503,220 771,239 654,305 844
Pozostałe przychody (koszty),72,-8 533,63 664,195,588,59,0,0,0,0,0,0,0
Zysk z działalności gospodarczej,49 290,113 762,29 859,65 331,162 283,223 470,210 646,247 250,397 744,-929 421,341 643,128 972,313 095
Wynik zdarzeń nadzwyczajnych,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk przed opodatkowaniem,49 290,113 762,29 859,65 331,162 283,223 470,210 646,247 250,397 744,-929 421,341 643,128 972,313 095
Zysk (strata) netto z działalności zaniechanej,-723,10 884,-12 884,0,0,0,0,0,0,0,0,0,28 927
Zysk netto,56 444,97 893,5 831,46 070,157 339,190 744,181 329,177 590,284 894,-847 739,162 819,30 953,270 819
Zysk netto akcjonariuszy jednostki dominującej,48 485,90 927,9 945,51 667,160 036,190 564,182 281,177 590,277 228,-839 894,151 320,6 097,243 228
