,2011(gru 11),2012(gru 12),2013(gru 13),2014(gru 14),2015(gru 15),2016(gru 16),2017(gru 17),2018(gru 18),2019(gru 19),2020(gru 20),2021(gru 21),2022(gru 22),2023/Q3(wrz 23)
Data publikacji,,,,,,,,,,,,,
Aktywa trwałe,2 330 223,2 175 994,2 215 625,2 220 770,2 325 352,2 852 157,3 389 462,5 121 300,9 241 797,8 319 561,8 550 285,8 946 453,8 620 825
Wartości niematerialne i prawne,1 294 616,1 133 609,1 121 076,1 106 392,1 157 200,1 373 202,1 522 000,2 620 850,2 570 856,2 551 061,2 545 768,2 436 872,2 381 771
Wartość firmy,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,953 310,960 841,1 005 709,1 016 329,1 060 019,1 343 738,1 690 155,2 153 870,6 122 020,5 466 692,5 666 001,6 166 281,5 888 139
Aktywa z tytułu prawa do użytkowania,,,,,,,,,,,,,
Należności długoterminowe,309,163,0,0,0,0,0,0,0,0,0,0,0
Inwestycje długoterminowe,22 221,22 586,22 472,22 555,22 980,23 040,22 152,138 030,346 642,22 613,22 077,22 043,5 099
Pozostałe aktywa trwałe,59 767,58 795,66 368,75 494,85 153,112 177,155 155,208 550,202 279,279 195,316 439,321 258,345 816
Aktywa obrotowe,291 558,370 469,415 824,401 073,523 772,588 806,929 625,1 076 290,1 127 651,1 437 972,1 452 950,1 747 457,1 465 777
Zapasy,40 770,42 036,47 197,51 638,64 346,82 086,93 628,110 510,127 329,122 292,152 240,175 871,170 127
Należności krótkoterminowe,88 249,96 328,87 327,73 080,97 548,112 181,166 178,266 170,445 439,278 734,312 299,433 347,383 364
Inwestycje krótkoterminowe,146 823,207 760,259 782,257 171,317 871,291 641,548 248,509 120,452 253,945 111,913 901,1 076 801,843 679
Środki pieniężne i inne aktywa pieniężne,143 960,207 079,259 510,257 171,317 871,291 641,548 248,509 120,452 253,945 111,913 901,1 076 801,843 679
Pozostałe aktywa obrotowe,15 716,24 345,21 518,19 184,44 007,102 898,121 571,190 490,102 630,91 835,74 510,61 438,68 607
Aktywa trwałe przeznaczone do sprzedaży,0,0,0,0,0,0,0,0,0,0,0,0,0
Aktywa razem,2 621 781,2 546 463,2 631 449,2 621 843,2 849 124,3 440 963,4 319 087,6 197 590,10 369 448,9 757 533,10 003 235,10 693 910,10 086 602
Kapitał własny akcjonariuszy jednostki dominującej,857 169,872 399,979 778,911 542,1 033 029,1 309 033,1 310 464,1 809 010,1 989 571,1 189 695,1 373 841,1 501 237,1 796 759
Kapitał (fundusz) podstawowy,714,714,714,714,714,714,714,91 160,93 687,101 526,101 187,103 178,101 983
Udziały (akcje) własne,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapitał (fundusz) zapasowy,489 273,610 764,738 029,692 624,678 306,648 886,606 366,886 230,759 291,784 977,761 661,780 868,773 218
Udziały niekontrolujące,155 577,197 367,64 746,64 100,71 045,67 577,35 184,42 570,40 456,31 842,40 475,52 058,68 143
Zobowiązania długoterminowe,1 212 093,957 432,1 086 422,1 293 006,1 179 617,1 216 727,2 009 757,3 205 220,6 214 855,6 329 660,5 924 487,6 202 862,5 436 168
Z tytułu dostaw i usług,0,0,0,0,0,0,0,0,0,0,0,0,0
Kredyty i pożyczki,838 946,611 107,923 228,1 116 047,1 035 946,1 039 033,1 811 975,2 819 940,2 793 576,3 121 912,2 492 415,2 586 480,2 036 883
Z tytułu emisji dłużnych papierów wartościowych,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania z tytułu leasingu finansowego,3 429,4 476,7 913,7 312,7 921,7 880,7 001,7 740,3 063 565,2 845 486,3 053 082,3 309 193,3 110 951
Inne zobowiązania długoterminowe,369 718,341 849,155 281,169 647,135 750,169 814,190 781,377 540,357 714,362 262,378 991,307 188,288 334
Zobowiązania krótkoterminowe,396 942,519 265,500 503,353 195,565 433,847 626,963 682,1 140 790,2 124 566,2 206 336,2 664 432,2 937 753,2 785 532
Z tytułu dostaw i usług,300 842,320 485,335 979,344 873,461 774,614 929,779 839,1 061 670,1 190 251,1 086 324,1 320 948,1 594 566,1 372 138
Kredyty i pożyczki,77 956,181 975,152 469,337,89 418,223 255,157 880,25 800,272 970,435 176,564 346,479 308,560 444
Z tytułu emisji dłużnych papierów wartościowych,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania z tytułu leasingu finansowego,252,372,670,767,1 323,1 636,1 777,2 580,616 205,668 223,731 765,811 822,768 119
Inne zobowiązania krótkoterminowe,17 892,16 433,11 385,7 218,12 918,7 806,24 186,50 740,45 140,16 613,47 374,52 058,84 831
Rozliczenia międzyokresowe,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasywa razem,2 621 781,2 546 463,2 631 449,2 621 843,2 849 124,3 440 963,4 319 087,6 197 590,10 369 448,9 757 533,10 003 235,10 693 910,10 086 602
