,2011(gru 11),2012(gru 12),2013(gru 13),2014(gru 14),2015(gru 15),2016(gru 16),2017(gru 17),2018(gru 18),2019(gru 19),2020(gru 20),2021(gru 21),2022(gru 22),2023/Q2(cze 23)
Data publikacji,,,,,,,,,,,,,
Aktywa trwałe,27 086,21 042,18 032,12 928,20 762,22 392,22 183,22 613,59 251,47 109,54 055,52 859,52 396
Wartości niematerialne i prawne,1 746,1 055,990,298,9 107,9 406,9 410,9 414,9 552,9 022,7 976,8 032,8 173
Wartość firmy,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,22 164,14 319,13 063,8 293,7 990,9 130,9 437,10 390,45 307,33 632,41 881,40 912,40 922
Aktywa z tytułu prawa do użytkowania,,,,,,,,,,,,,
Należności długoterminowe,375,658,672,519,499,720,630,727,2 187,1 574,1 105,1 230,1 227
Inwestycje długoterminowe,1 584,1 708,598,1 708,1 200,1 293,1 297,1 293,1 221,2 866,1 289,1 239,520
Pozostałe aktywa trwałe,1 217,3 302,2 709,2 110,1 966,1 843,1 409,789,984,15,1 804,1 446,1 554
Aktywa obrotowe,10 895,4 788,4 706,7 453,7 183,6 936,7 037,7 917,8 758,7 661,11 946,11 657,13 521
Zapasy,752,421,447,762,1 075,1 306,854,874,1 100,761,1 284,1 429,1 595
Należności krótkoterminowe,3 322,1 775,1 737,1 487,1 332,2 269,2 149,2 835,4 032,2 258,2 067,2 009,2 096
Inwestycje krótkoterminowe,6 819,2 494,2 362,1 902,4 516,3 141,3 741,3 945,3 316,4 434,7 593,7 744,9 171
Środki pieniężne i inne aktywa pieniężne,5 397,1 256,1 252,1 902,4 452,3 141,3 741,3 941,3 231,4 428,7 493,7 636,9 059
Pozostałe aktywa obrotowe,2,98,160,236,260,220,293,263,310,208,1 002,475,659
Aktywa trwałe przeznaczone do sprzedaży,0,0,0,3 066,0,0,0,0,0,0,0,0,0
Aktywa razem,37 981,25 830,22 738,20 381,27 945,29 328,29 220,30 530,68 009,54 770,66 001,64 516,65 917
Kapitał własny akcjonariuszy jednostki dominującej,17 530,8 356,10 133,6 739,13 683,14 771,16 191,17 444,13 698,3 384,7 955,12 631,13 053
Kapitał (fundusz) podstawowy,620,635,635,635,767,767,767,767,767,767,767,767,767
Udziały (akcje) własne,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapitał (fundusz) zapasowy,16 257,17 362,14 360,15 277,17 748,19 041,19 444,20 192,15 925,18 378,14 135,15 359,14 519
Udziały niekontrolujące,16,576,-529,380,-234,152,-48,-177,303,-1 266,-112,248,-410
Zobowiązania długoterminowe,11 880,4 726,5 558,5 506,6 251,4 957,4 200,2 492,34 519,34 133,37 049,33 207,30 942
Z tytułu dostaw i usług,0,0,0,0,0,0,0,0,0,0,0,0,0
Kredyty i pożyczki,3 945,3 030,3 612,4 661,0,4 032,3 399,1 288,1 913,7 299,2 455,1 007,293
Z tytułu emisji dłużnych papierów wartościowych,5 215,451,405,0,0,0,0,0,0,0,0,0,0
Zobowiązania z tytułu leasingu finansowego,1 145,763,424,46,416,627,549,369,29 962,24 777,32 955,30 362,29 342
Inne zobowiązania długoterminowe,1 575,482,1 117,799,5 835,298,252,835,2 644,2 057,1 639,1 838,1 307
Zobowiązania krótkoterminowe,8 555,12 172,7 576,7 756,8 245,9 448,8 877,10 771,19 489,18 519,21 109,18 430,22 332
Z tytułu dostaw i usług,3 321,3 453,3 111,3 015,2 845,2 764,2 361,2 468,2 877,3 414,2 698,2 828,2 748
Kredyty i pożyczki,0,2 911,2 605,997,2 520,2 819,2 347,3 648,3 892,5 511,7 066,2 579,2 418
Z tytułu emisji dłużnych papierów wartościowych,3 158,4 054,0,0,0,0,0,0,0,0,0,0,0
Zobowiązania z tytułu leasingu finansowego,1 074,531,335,215,94,169,200,201,7 515,6 028,6 270,6 741,7 690
Inne zobowiązania krótkoterminowe,1 002,1 223,1 525,3 529,2 786,3 696,3 969,4 454,5 205,3 566,5 075,6 282,9 476
Rozliczenia międzyokresowe,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasywa razem,37 981,25 830,22 738,20 381,27 945,29 328,29 220,30 530,68 009,54 770,66 001,64 516,65 917
