,2010(paź 10),2011(paź 11),2012(paź 12),2013(paź 13),2014(paź 14),2015(gru 15),2016(paź 16),2017(paź 17),2018(paź 18),2019(paź 19),2020(paź 20),2021(paź 21),2022(paź 22)
Data publikacji,,,,,,,,,,,,,
Aktywa trwałe,545 547,928 689,1 093 323,1 206 670,1 339 448,1 337 114,1 334 203,1 500 723,1 714 866,1 898 822,2 446 523,2 378 742,2 531 566
Wartości niematerialne i prawne,15 566,16 526,15 911,32 469,63 569,64 719,63 416,59 965,61 141,61 518,164 554,165 660,167 660
Wartość firmy,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,460 051,745 480,901 112,1 067 560,1 152 247,1 134 739,1 196 674,1 390 382,1 582 124,1 760 061,2 127 853,2 085 552,2 238 898
Aktywa z tytułu prawa do użytkowania,,,,,,,,,,,,,
Należności długoterminowe,26 131,116 930,101 427,15 123,92 352,9 980,33 874,11 292,17 312,16 186,36 844,2 985,2 392
Inwestycje długoterminowe,42 325,40 710,74 620,91 518,30 540,127 675,40 238,39 085,44 708,48 792,111 706,106 491,98 713
Pozostałe aktywa trwałe,1 474,9 043,252,0,740,0,0,0,9 581,12 265,5 566,18 053,23 902
Aktywa obrotowe,654 958,439 994,229 513,236 362,172 498,200 951,291 343,360 570,544 704,376 321,148 905,193 940,174 484
Zapasy,2 700,4 278,6 480,8 834,12 281,22 791,24 191,24 870,35 183,34 980,39 680,18 918,21 223
Należności krótkoterminowe,635 281,323 606,146 387,184 409,125 112,99 050,102 201,176 469,238 338,246 224,37 805,69 455,48 309
Inwestycje krótkoterminowe,11 400,103 058,67 483,27 770,25 159,65 120,164 951,140 605,256 313,71 311,33 260,72 052,73 657
Środki pieniężne i inne aktywa pieniężne,11 060,27 758,12 872,17 876,16 409,39 287,32 420,40 730,236 164,51 452,33 075,71 867,73 459
Pozostałe aktywa obrotowe,5 576,9 051,9 163,15 349,9 947,9 993,0,18 627,14 869,23 806,38 161,33 515,31 295
Aktywa trwałe przeznaczone do sprzedaży,0,0,0,0,0,3 997,0,0,0,0,0,0,0
Aktywa razem,1 200 505,1 368 682,1 322 836,1 443 032,1 511 946,1 538 065,1 625 546,1 861 293,2 259 570,2 275 143,2 595 428,2 572 681,2 706 049
Kapitał własny akcjonariuszy jednostki dominującej,1 074 530,1 184 357,1 142 980,423 829,429 112,430 480,449 955,474 112,492 387,469 073,425 687,210 547,158 469
Kapitał (fundusz) podstawowy,884 113,961 337,915 233,196 091,197 392,200 077,203 139,199 528,203 355,200 087,216 853,216 947,221 083
Udziały (akcje) własne,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapitał (fundusz) zapasowy,121 550,132 167,125 828,127 094,127 937,129 763,131 661,129 321,131 801,129 684,140 550,140 611,143 292
Udziały niekontrolujące,0,0,0,0,1 038,9 865,8 688,6 749,468,452,-1 284,-2 042,-3 042
Zobowiązania długoterminowe,87 577,127 749,107 771,200 565,976 680,969 176,1 034 938,1 216 620,989 550,1 588 157,1 280 964,2 012 118,1 945 925
Z tytułu dostaw i usług,292,56,0,0,0,0,0,0,0,0,12 401,11 358,17 093
Kredyty i pożyczki,47 629,64 311,53 300,120 629,141 651,118 755,164 878,359 525,155 286,302 014,151 575,365 015,530 594
Z tytułu emisji dłużnych papierów wartościowych,0,0,0,0,750 026,760 763,773 095,759 949,725 125,1 086 388,659 214,1 175 661,934 698
Zobowiązania z tytułu leasingu finansowego,0,0,0,0,0,0,0,0,0,0,247 965,265 266,275 419
Inne zobowiązania długoterminowe,39 656,63 382,54 470,79 936,85 003,89 658,96 966,97 146,109 140,199 754,209 809,194 818,188 121
Zobowiązania krótkoterminowe,38 398,56 576,72 085,818 639,105 116,128 544,131 964,163 813,777 165,217 462,890 061,352 059,604 698
Z tytułu dostaw i usług,11 176,21 347,45 423,31 738,18 373,25 309,32 641,43 713,38 185,34 315,32 262,56 864,70 040
Kredyty i pożyczki,9 007,13 542,13 493,41 123,42 190,42 666,30 270,41 988,346 175,64 761,209 001,132 303,47 800
Z tytułu emisji dłużnych papierów wartościowych,0,0,0,0,25 318,25 663,26 055,25 592,307 531,27 139,536 931,29 467,318 745
Zobowiązania z tytułu leasingu finansowego,0,0,0,0,0,0,0,0,0,0,41 578,40 418,40 539
Inne zobowiązania krótkoterminowe,18 214,21 686,13 170,745 778,19 235,34 906,42 999,52 519,85 275,91 247,70 289,93 007,127 574
Rozliczenia międzyokresowe,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasywa razem,1 200 505,1 368 682,1 322 836,1 443 032,1 511 946,1 538 065,1 625 546,1 861 293,2 259 570,2 275 143,2 595 428,2 572 681,2 706 049
