,2010(paź 10),2011(paź 11),2012(paź 12),2013(paź 13),2014(paź 14),2015(gru 15),2016(paź 16),2017(paź 17),2018(paź 18),2019(paź 19),2020(paź 20),2021(paź 21),2022(paź 22)
Data publikacji,,,,,,,,,,,,,
Przychody ze sprzedaży,97 216,168 338,181 142,219 409,235 163,298 267,348 633,406 634,416 623,538 645,511 029,293 227,620 690
Techniczny koszt wytworzenia produkcji sprzedanej,100 024,161 393,156 125,191 969,211 422,251 556,295 297,328 221,327 433,483 942,473 372,404 246,566 165
Koszty sprzedaży,0,0,0,0,0,0,0,0,0,0,0,0,0
Koszty ogólnego zarządu,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk ze sprzedaży,-2 808,6 945,25 017,27 440,23 742,46 710,53 335,78 413,89 190,54 703,37 657,-111 019,54 524
Pozostałe przychody operacyjne,0,0,0,7 581,1 577,3 938,2 704,965,823,5 114,2 568,5 725,8 518
Pozostałe koszty operacyjne,0,0,0,3 003,3 902,3 294,3 795,4 207,4 089,5 596,6 120,4 824,8 278
Zysk operacyjny (EBIT),-2 808,6 945,25 017,32 018,21 417,47 354,52 245,75 170,85 924,54 222,34 105,-110 118,54 765
Przychody finansowe,24 897,23 158,14 195,6 678,6 201,5 979,5 780,8 746,15 892,4 999,4 725,707,221
Koszty finansowe,0,0,2 225,2 844,32 651,47 183,47 412,51 397,52 361,71 558,94 422,100 308,107 904
Pozostałe przychody (koszty),-184,-7 397,13 852,9 982,5 419,-6 674,6 944,718,0,5 033,-50 576,-5 222,-14 131
Zysk z działalności gospodarczej,21 905,22 707,50 840,45 834,387,-524,17 558,33 238,49 455,-7 305,-106 168,-214 941,-67 050
Wynik zdarzeń nadzwyczajnych,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk przed opodatkowaniem,21 905,22 707,50 840,45 834,387,-524,17 558,33 238,49 455,-7 305,-106 168,-214 941,-67 050
Zysk (strata) netto z działalności zaniechanej,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk netto,23 004,39 858,42 119,27 582,2 872,-3 200,11 881,29 706,32 801,-9 751,-94 745,-211 984,-56 257
Zysk netto akcjonariuszy jednostki dominującej,23 004,39 858,42 119,27 582,2 956,-2 885,13 244,31 321,32 801,-9 742,-93 337,-211 249,-53 498
